Method,Name,Error,Occurrences
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1614""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 1614"", grpc_status:5, created_time:""2026-06-08T18:59:50.425735146-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1385""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 1385"", grpc_status:5, created_time:""2026-06-08T18:59:32.916056919-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2276""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2276"", grpc_status:5, created_time:""2026-06-08T18:59:50.089504615-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3677""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 3677"", grpc_status:5, created_time:""2026-06-08T18:59:46.114255943-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1669""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 1669"", grpc_status:5, created_time:""2026-06-08T18:59:14.071123606-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2491""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2491"", grpc_status:5, created_time:""2026-06-08T18:59:25.623838855-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3008""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:03.460547173-03:00"", grpc_status:5, grpc_message:""music 3008""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2637""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2637"", grpc_status:5, created_time:""2026-06-08T18:59:45.063484335-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3022""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:24.938415537-03:00"", grpc_status:5, grpc_message:""music 3022""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3463""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 3463"", grpc_status:5, created_time:""2026-06-08T18:59:30.493324743-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1073""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:01.068335009-03:00"", grpc_status:5, grpc_message:""music 1073""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1336""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:10.823565639-03:00"", grpc_status:5, grpc_message:""music 1336""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2106""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:30.111114448-03:00"", grpc_status:5, grpc_message:""music 2106""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3674""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:26.50026061-03:00"", grpc_status:5, grpc_message:""music 3674""}""
>",1
